# cycle	P.putida	Synechococcus	co2_e	C80aPHA_e	nh4_e	sucr_e
867.0	0.1	0.21115263159	333.16990935	17.32	0.0	0.005266947955699999
868.0	0.1	0.21162841462	333.42788998	17.34	0.0	0.0052788157899
869.0	0.1	0.21210526971	333.68577592	17.36	0.0	0.0052907103654
870.0	0.1	0.21258319928	333.94356697	17.38	0.0	0.0053026317427
871.0	0.1	0.21306220575	334.20126292	17.4	0.0	0.0053145799818999995
872.0	0.1	0.21354229155	334.45886354	17.42	0.0	0.005326555143800001
873.0	0.1	0.21402345912	334.71636862	17.44	0.0	0.0053385572888
874.0	0.1	0.21450571088	334.97377795	17.46	0.0	0.0053505864779
875.0	0.1	0.21498904928	335.23109132	17.48	0.0	0.0053626427719
876.0	0.1	0.21547347677	335.4883085	17.5	0.0	0.005374726232000001
877.0	0.1	0.21595899581	335.74542928	17.52	0.0	0.0053868369193
878.0	0.1	0.21644560885	336.00245344	17.54	0.0	0.005398974895199999
879.0	0.1	0.21693331836	336.25938076	17.56	0.0	0.0054111402212
880.0	0.1	0.21742212681	336.51621103	17.58	0.0	0.0054233329589
881.0	0.1	0.21791203667	336.77294403	17.6	0.0	0.0054355531701
882.0	0.1	0.21840305043	337.02957953	17.62	0.0	0.0054478009167
883.0	0.1	0.21889517057	337.28611732	17.64	0.0	0.0054600762607
884.0	0.1	0.2193883996	337.54255718	17.66	0.0	0.0054723792643
885.0	0.1	0.21988274	337.79889889	17.68	0.0	0.0054847099899
886.0	0.1	0.22037819427	338.05514223	17.7	0.0	0.0054970684999
887.0	0.1	0.22087476494	338.31128697	17.72	0.0	0.0055094548569
888.0	0.1	0.22137245452	338.56733289	17.74	0.0	0.0055218691236000005
889.0	0.1	0.22187126552	338.82327977	17.76	0.0	0.005534311363
890.0	0.1	0.22237120048	339.07912739	17.78	0.0	0.005546781638
891.0	0.1	0.22287226192	339.33487552	17.8	0.0	0.0055592800119
892.0	0.1	0.22337445239	339.59052394	17.82	0.0	0.005571806548
893.0	0.1	0.22387777442	339.84607242	17.84	0.0	0.0055843613096
894.0	0.1	0.22438223057	340.10152075	17.86	0.0	0.0055969443605
895.0	0.1	0.2248878234	340.35686868	17.88	0.0	0.0056095557643999995
896.0	0.1	0.22539455547	340.61211601	17.9	0.0	0.0056221955851
897.0	0.1	0.22590242933	340.86726249	17.92	0.0	0.0056348638866
898.0	0.1	0.22641144757	341.12230791	17.94	0.0	0.005647560733300001
899.0	0.1	0.22692161276	341.37725203	17.96	0.0	0.005660286189200001
900.0	0.1	0.22743292749	341.63209463	17.98	0.0	0.005673040319100001
901.0	0.1	0.22794539435	341.88683547	18.0	0.0	0.005685823187300001
902.0	0.1	0.22845901594	342.14147434	18.02	0.0	0.005698634858800001
903.0	0.1	0.22897379485	342.396011	18.04	0.0	0.0057114753984
904.0	0.1	0.22948973369	342.65044521	18.06	0.0	0.0057243448710999996
905.0	0.1	0.23000683508	342.90477675	18.08	0.0	0.0057372433422
906.0	0.1	0.23052510164	343.15900539	18.1	0.0	0.005750170877
907.0	0.1	0.23104453599	343.4131309	18.12	0.0	0.005763127540899999
908.0	0.1	0.23156514076	343.66715304	18.14	0.0	0.0057761133996
909.0	0.1	0.23208691859	343.92107157	18.16	0.0	0.005789128519
910.0	0.1	0.23260987213	344.17488628	18.18	0.0	0.0058021729648
911.0	0.1	0.23313400402	344.42859691	18.2	0.0	0.0058152468033
912.0	0.1	0.23365931692	344.68220325	18.22	0.0	0.0058283501006
913.0	0.1	0.23418581349	344.93570504	18.24	0.0	0.0058414829231
914.0	0.1	0.2347134964	345.18910206	18.26	0.0	0.0058546453373
915.0	0.1	0.23524236832	345.44239408	18.28	0.0	0.00586783741
916.0	0.1	0.23577243192	345.69558085	18.3	0.0	0.0058810592079
917.0	0.1	0.2363036899	345.94866213	18.32	0.0	0.0058943107981
918.0	0.1	0.23683614495	346.2016377	18.34	0.0	0.0059075922476
919.0	0.1	0.23736979976	346.45450731	18.36	0.0	0.0059209036236999996
920.0	0.1	0.23790465703	346.70727072	18.38	0.0	0.0059342449939000005
921.0	0.1	0.23844071948	346.95992769	18.4	0.0	0.0059476164258
922.0	0.1	0.23897798982	347.21247799	18.42	0.0	0.005961017987000001
923.0	0.1	0.23951647078	347.46492137	18.44	0.0	0.0059744497456
924.0	0.1	0.24005616507	347.71725759	18.46	0.0	0.005987911769399999
925.0	0.1	0.24059707544	347.96948641	18.48	0.0	0.0060014041268
926.0	0.1	0.24113920463	348.22160759	18.5	0.0	0.006014926886
927.0	0.1	0.24168255537	348.47362089	18.52	0.0	0.0060284801156
928.0	0.1	0.24222713043	348.72552606	18.54	0.0	0.006042063884300001
929.0	0.1	0.24277293256	348.97732286	18.56	0.0	0.006055678260800001
930.0	0.1	0.24331996453	349.22901105	18.58	0.0	0.0060693233141
931.0	0.1	0.24386822911	349.48059038	18.6	0.0	0.0060829991133
932.0	0.1	0.24441772907	349.7320606	18.62	0.0	0.006096705727800001
933.0	0.1	0.24496846721	349.98342147	18.64	0.0	0.0061104432268
934.0	0.1	0.2455204463	350.23467275	18.66	0.0	0.0061242116802
935.0	0.1	0.24607366915	350.48581418	18.68	0.0	0.0061380111575
936.0	0.1	0.24662813855	350.73684552	18.7	0.0	0.0061518417287
937.0	0.1	0.24718385733	350.98776652	18.72	0.0	0.0061657034639
938.0	0.1	0.24774082828	351.23857693	18.74	0.0	0.0061795964332
939.0	0.1	0.24829905424	351.48927651	18.76	0.0	0.0061935207071
940.0	0.1	0.24885853803	351.73986499	18.78	0.0	0.0062074763561
941.0	0.1	0.24941928249	351.99034215	18.8	0.0	0.0062214634508
942.0	0.1	0.24998129045	352.24070771	18.82	0.0	0.0062354820623
943.0	0.1	0.25054456477	352.49096143	18.84	0.0	0.006249532261299999
944.0	0.1	0.25110910829	352.74110306	18.86	0.0	0.0062636141191999995
945.0	0.1	0.25167492388	352.99113235	18.88	0.0	0.0062777277073
946.0	0.1	0.25224201441	353.24104904	18.9	0.0	0.006291873097100001
947.0	0.1	0.25281038273	353.49085288	18.92	0.0	0.006306050360100001
948.0	0.1	0.25338003175	353.74054361	18.94	0.0	0.006320259568300001
949.0	0.1	0.25395096433	353.99012099	18.96	0.0	0.0063345007937
950.0	0.1	0.25452318338	354.23958475	18.98	0.0	0.006348774108300001
951.0	0.1	0.25509669179	354.48893463	19.0	0.0	0.0063630795845
952.0	0.1	0.25567149246	354.73817039	19.02	0.0	0.0063774172947
953.0	0.1	0.25624758832	354.98729176	19.04	0.0	0.0063917873116000005
954.0	0.1	0.25682498227	355.23629849	19.06	0.0	0.0064061897078999995
955.0	0.1	0.25740367724	355.48519032	19.08	0.0	0.006420624556699999
956.0	0.1	0.25798367617	355.73396699	19.1	0.0	0.0064350919311
957.0	0.1	0.25856498199	355.98262824	19.12	0.0	0.0064495919042
958.0	0.1	0.25914759764	356.23117381	19.14	0.0	0.0064641245497
959.0	0.1	0.25973152609	356.47960343	19.16	0.0	0.006478689941100001
960.0	0.1	0.26031677028	356.72791686	19.18	0.0	0.0064932881522
