# cycle	R.palustris	Synechococcus	co2_e	h2_e	n2_e	sucr_e
117.0	0.19315057234	0.26309521594	94.334962714	0.37650069998	27.623499300000002	0.056590126913
118.0	0.19424180093	0.2633976944	94.283326338	0.38091128292	27.619088716999997	0.05621619853299999
119.0	0.19533919454	0.26370052062	94.23163383299999	0.385346784	27.614653216	0.055805824172
120.0	0.19644278802	0.26400369499	94.179885155	0.389807344	27.610192656	0.055358758450999995
121.0	0.19755261639	0.26430721792	94.128080256	0.39429310450000005	27.605706895	0.054874754558
122.0	0.19866871488	0.26461108981	94.07621909	0.39880420788000004	27.601195792	0.054353564244
123.0	0.1997911189	0.26491531105	94.024301612	0.40334079729999994	27.596659203	0.053794937810000006
124.0	0.20091986409	0.26521988206	93.972327776	0.40790301676	27.592096983	0.0531986241
125.0	0.20205498627	0.26552480323	93.920297535	0.41249101104999997	27.587508989	0.052564370496
126.0	0.20319652146	0.26583007497	93.86821084299999	0.41710492579999997	27.582895074	0.051891922906
127.0	0.2043445059	0.26613569767	93.816067656	0.42174490744000004	27.578255093000003	0.051181025756000004
128.0	0.20549897603	0.26644167175	93.763867926	0.42641110325000003	27.573588896999997	0.050431421982000006
129.0	0.20665996848	0.2667479976	93.711611608	0.43110366131000005	27.568896339000002	0.049642853025
130.0	0.2078275201	0.26705467563	93.659298656	0.43582273058	27.564177269	0.048815058816
131.0	0.20900166795	0.26736170625	93.606929025	0.44056846083000006	27.559431539000002	0.047947777772
132.0	0.2101824493	0.26766908986	93.55450267	0.44534100268	27.554658996999997	0.047040746787
133.0	0.21136990163	0.26797682686	93.50201954299999	0.4501405076100001	27.549859492	0.04609370122
134.0	0.21256406261	0.26828491767	93.44947960100001	0.45496712795	27.545032871999997	0.045106374893
135.0	0.21376497016	0.26859336269	93.396882798	0.45982101688999993	27.540178983	0.044078500072999995
136.0	0.21497266239	0.26890216232	93.34422908799999	0.46470232849	27.535297672	0.043009807473999996
137.0	0.21618717763	0.26921131698	93.29151842600001	0.46961121767999997	27.530388782	0.041900026236
138.0	0.21740855442	0.26952082707	93.23875076700001	0.47454784024999996	27.52545216	0.040748883929
139.0	0.21863683154	0.269830693	93.18592606600001	0.4795123529	27.520487647	0.039556106532
140.0	0.21987204797	0.27014091518	93.13304427700001	0.4845049132	27.515495086999998	0.038321418432
141.0	0.2211142429	0.27045149403	93.080105356	0.48952567959	27.51047432	0.037044542413
142.0	0.22236345578	0.27076242994	93.027109257	0.49457481143999993	27.505425189	0.035725199646
143.0	0.22361972624	0.27107372333	92.974055936	0.49965246899	27.500347531	0.034363109679
144.0	0.22488309416	0.27138537461	92.92094534700001	0.50475881342	27.495241186999998	0.03295799043
145.0	0.22615359963	0.2716973842	92.86777744700001	0.5098940067800001	27.490105993	0.031509558176
146.0	0.22743128299	0.2720097525	92.81455219	0.5150582120699999	27.484941788	0.030017527546
147.0	0.22871618478	0.27232247993	92.76126953100001	0.52025159319	27.479748407	0.028481611507
148.0	0.23000834579	0.2726355669	92.70792942700001	0.52547431497	27.474525685	0.026901521361
149.0	0.23130780702	0.27294901383	92.654531832	0.53072654318	27.469273456999996	0.02527696673
150.0	0.23261460972	0.27326282112	92.60107670200001	0.53600844452	27.463991555	0.023607655548
151.0	0.23392879537	0.27357698919	92.547563994	0.54132018662	27.458679813000003	0.021893294054
152.0	0.23525040568	0.27389151846	92.493993661	0.54666193809	27.453338061999997	0.02013358678
153.0	0.23657948259	0.27420640934	92.440365661	0.55203386845	27.447966131999998	0.018328236539
154.0	0.2379160683	0.27452166225	92.386679949	0.55743614822	27.442563852	0.016476944421000003
155.0	0.23926020521	0.2748372776	92.332936481	0.5628689488399999	27.437131050999998	0.014579409779000001
156.0	0.24061193599	0.27515325581	92.27913521299999	0.56833244277	27.431667556999997	0.012635330220000001
